,index,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
203,203,2002166001.0,1984243717.0,1985749154.0,2002466486,2001576673,2001730378.0,2002450782,2002347755,1972957712,1984174505
204,204,2000021427.0,2001275823.0,1969854441.0,1983036197,1996216769,2002690368.0,1999235683,2001300782,2000713269,1970268708
205,205,2002551006.0,1984413775.0,1962805940.0,1966660304,1990723488,1999845010.0,1966413539,1996160444,1999868109,2002673039
206,206,2000121513.0,1998837211.0,2002237266.0,2002181540,1998525117,1966558746.0,1986596191,2002504782,1995830592,1998479972
207,207,1967191532.0,1967096783.0,1985155142.0,1998463174,2002635600,2002400301.0,2001136831,1998676973,2000510405,2002604989
208,208,2002731299.0,2001100849.0,1993209541.0,2002434717,1999473012,1999692835.0,2000983408,1986686859,1973406335,1999049066
209,209,2000704742.0,1994838844.0,1981589185.0,1999862495,1969900873,1996087951.0,1999970637,2000188664,2002239519,1954866482
210,210,1999161055.0,1978432454.0,1970705933.0,1969035035,1996402685,2000989891.0,1972394869,1971548927,2002178865,2002592985
211,211,1983776516.0,1996086123.0,2002383693.0,2002269328,1998416579,1973592315.0,2002758439,1994336240,1954839555,2000070040
212,212,1973387928.0,1972921653.0,2001480703.0,2001286565,2002576504,2002592615.0,2001631047,1998437684,2002261257,2002156652
213,213,2002487462.0,1986394897.0,1986431820.0,1981099321,1999447109,2001612872.0,1975253296,1994433153,1998279257,1999950965
214,214,2002014795.0,1999683736.0,2002493026.0,2000537979,1953505999,1994244327.0,2002562919,1999916940,2002008791,1967901385
215,215,1971147552.0,1968686436.0,1998239498.0,1964798578,2002351310,2000318880.0,1998343805,1967504915,2000008411,1994522796
216,216,1977637677.0,2002477965.0,2002146247.0,2002533731,2001543621,1982597676.0,1979192509,2002645986,1970578903,1981113630
217,217,1998097840.0,1998293955.0,1983703508.0,2000850513,2002094882,2002752485.0,2000048658,2000833272,2001916151,2002499732
218,218,2002278209.0,2002485363.0,1969152942.0,1996174985,2000428761,2000759220.0,1968137815,2002332716,2001536403,1999651778
219,219,2000139949.0,1999815494.0,2002380123.0,2001705880,1972075193,1960063146.0,1986802073,2002614396,2002153380,1998721829
220,220,1967430622.0,1967068584.0,2000220620.0,1988562207,1986158345,1986025590.0,1997313916,1997080348,1990926994,1996136159
221,221,1986365249.0,2001002975.0,1992725172.0,2002403963,1998989927,2001195066.0,1994501007,2001595976,1980629199,1983562898
